BoxName,Position,PartNumber,Description,Manufacturer,Category,Quantity,MinStock,Supplier,SupplierPartNumber,Value,Package,Tolerance,Voltage,UnitPrice,Notes,DatasheetUrl,SalesOrderNumber
Blue Label Box,A-01,STM32H7B0VBT6,"ARM Microcontrollers - MCU High-performance & DSP DP-FPU, Arm Cortex-M7 MCU 128KBytes of Flash 1376 KB SRAM",,Other,10,10,Mouser,511-STM32H7B0VBT6,,,,,5.9,,,275422760
,,FLTS22WR00,Fixed Terminal Blocks SMD TERMINAL BLOCK,,Other,25,10,Mouser,523-FLTS22WR00,,,,,0.377,,,275422760
Blue Label Box,G-03,NTCG103JF103FT1A,"NTC Thermistors NTC,10K,1%,0402,125C,ECO",,Other,100,10,Mouser,810-NTCG103JF103FT1A,,,,,0.051,,,275422760
Blue Label Box,B-01,SN74LVC1G3157DRYR,Analog Switch ICs SNGL Pole Double Thr ow Analog Switch,,Other,100,10,Mouser,595-74LVC1G3157DRYR,,,,,0.083,,,275422760
Blue Label Box,B-02,SN74LVC1G125DRYR,Buffers & Line Drivers SNGL Bus Buffer Gate,,Other,100,10,Mouser,595-SN74LVC1G125DRYR,,,,,0.121,,,275422760
Blue Label Box,B-03,SN74LVC1G04DRYR,Inverters SNGL Inverter,,Other,100,10,Mouser,595-SN74LVC1G04DRYR,,,,,0.1,,,275422760
Blue Label Box,C-01,0685P6000-01,"Surface Mount Fuses Surface Mt Chip fuse 1206 size, 6A",,Other,10,10,Mouser,530-0685P6000-01,,,,,0.7,,,275422760
Blue Label Box,C-02,C1T5,"Surface Mount Fuses 1206 SMT Fuse Slow Blow, 5A",,Other,10,10,Mouser,530-C1T5,,,,,0.203,,,275422760
Blue Label Box,C-03,C1T 4,"Surface Mount Fuses 1206 SMT Fuse Slow Blow, 4A",,Other,10,10,Mouser,530-C1T4,,,,,0.229,,,275422760
Blue Label Box,C-04,C1F 3,"Surface Mount Fuses 1206 SMT Fuse Fast Acting, 3A",,Other,10,10,Mouser,530-C1F3,,,,,0.258,,,275422760
